timestamps(s),penetration_AV,flow(veh/hr),speed(mph)
20.0,0.0,0.0,-0.621504039776
40.0,0.0,0.0,-0.621504039776
60.0,0.0,360.0,75.116508429
80.0,0.0,2880.0,60.4475461385
100.0,0.0,3060.0,63.8920620833
120.0,0.0,3240.0,65.6804017941
140.0,0.0,2340.0,68.240504211
160.0,0.0,3240.0,66.3429462426
180.0,0.0,3600.0,64.6839667747
200.0,0.0,2340.0,66.2627258249
220.0,0.0,3600.0,69.1144916708
240.0,0.0,2700.0,65.7507927884
260.0,0.0,2700.0,62.0771169222
280.0,0.0,3420.0,66.6005778842
300.0,0.0,3060.0,65.5238342525
320.0,0.0,3240.0,65.7737135293
340.0,0.0,3060.0,68.6320531699
360.0,0.0,3060.0,68.8018437416
380.0,0.0,2520.0,66.8216723693
400.0,0.0,3240.0,66.5075858744
420.0,0.0,2700.0,66.4495834766
440.0,0.0,2880.0,65.323371005
460.0,0.0,3420.0,63.1557230063
480.0,0.0,2520.0,63.7723653373
500.0,0.0,3600.0,64.7073748297
520.0,0.0,2700.0,68.5396155066
540.0,0.0,3060.0,68.8774350251
560.0,0.0,3420.0,66.8303975912
580.0,0.0,3240.0,68.8600275752
600.0,0.0,3420.0,70.1714394678
620.0,0.0,1980.0,70.5771522074
640.0,0.0,3600.0,67.7723617243
660.0,0.0,2700.0,68.7423173272
680.0,0.0,3060.0,68.0855029141
700.0,0.0,2700.0,69.7660784263
720.0,0.0,3240.0,66.9662737073
740.0,0.0,3060.0,61.3076212905
760.0,0.0,3240.0,57.7558542286
780.0,0.0,2700.0,64.9999257514
800.0,0.0,3240.0,66.6900264405
820.0,0.0,2880.0,66.3534236799
840.0,0.0,3060.0,65.9185044953
860.0,0.0,3060.0,65.8583711503
880.0,0.0,3060.0,66.3467748351
900.0,0.0,3240.0,60.2203890568
920.0,0.0,3060.0,63.9891172823
940.0,0.0,3060.0,64.6903524364
960.0,0.0,3060.0,71.3664928035
980.0,0.0,2880.0,67.3447695374
1000.0,0.0,3060.0,67.8912286959
1020.0,0.0,2700.0,63.3584816388
1040.0,0.0,3060.0,65.1846087918
1060.0,0.0,3420.0,68.5480331555
1080.0,0.0,2880.0,68.0968942458
1100.0,0.0,2340.0,69.6963678284
1120.0,0.0,3240.0,67.0615543148
1140.0,0.0,3060.0,67.4191436197
1160.0,0.0,2700.0,64.3802790309
1180.0,0.0,3240.0,51.4818433149
1200.0,0.0,2880.0,61.8472771646
1220.0,0.0,2880.0,66.6620400103
1240.0,0.0,3600.0,63.9537183983
1260.0,0.0,2700.0,65.1653676775
1280.0,0.0,3600.0,65.4839476381
1300.0,0.0,2340.0,67.05643912
1320.0,0.0,3240.0,68.2873843823
1340.0,0.0,2880.0,68.6331276228
1360.0,0.0,3060.0,67.2697349188
1380.0,0.0,3060.0,65.5380875128
1400.0,0.0,2700.0,64.5320744014
1420.0,0.0,3420.0,64.1341255183
1440.0,0.0,2880.0,65.6315979046
1460.0,0.0,3060.0,66.7121096507
1480.0,0.0,3060.0,65.1171375462
1500.0,0.0,2880.0,68.5742711879
1520.0,0.0,2880.0,68.9416417142
1540.0,0.0,3240.0,66.9743638826
1560.0,0.0,3240.0,64.4031989436
1580.0,0.0,2880.0,67.3960192101
1600.0,0.0,3240.0,65.0357226675
1620.0,0.0,2880.0,64.7633189233
1640.0,0.0,3060.0,64.9052661019
1660.0,0.0,3240.0,64.7797131054
1680.0,0.0,2520.0,60.402437966
1700.0,0.0,3420.0,52.5757679577
1720.0,0.0,3060.0,53.2629726334
1740.0,0.0,2880.0,50.9169043438
1760.0,0.0,2520.0,42.9606376078
1780.0,0.0,2700.0,28.5148596393
1800.0,0.0,1620.0,12.230537092
1820.0,0.0,360.0,1.46999411472
1840.0,0.0,180.0,0.51419927553
1860.0,0.0,360.0,2.7962772903
1880.0,0.0,360.0,1.66165568793
1900.0,0.0,540.0,1.53131296222
1920.0,0.0,180.0,1.73186888382
1940.0,0.0,360.0,2.55283147056
1960.0,0.0,540.0,2.08681407504
1980.0,0.0,540.0,1.19119838561
2000.0,0.0,1260.0,2.76148178042
2020.0,0.0,2160.0,5.26831344983
2040.0,0.0,2700.0,7.16235635576
2060.0,0.0,3060.0,8.3909512075
2080.0,0.0,2880.0,9.18229612487
2100.0,0.0,2880.0,9.66707015899
2120.0,0.0,3240.0,9.97543012338
2140.0,0.0,3240.0,10.1735031854
2160.0,0.0,3060.0,10.282737765
2180.0,0.0,3060.0,10.37027834
2200.0,0.0,3240.0,10.4266641468
2220.0,0.0,3240.0,10.483441933
2240.0,0.0,3240.0,10.5361038075
2260.0,0.0,3060.0,10.5919136977
2280.0,0.0,3240.0,10.6371386065
2300.0,0.0,3240.0,10.6832867393
2320.0,0.0,3240.0,10.7184688744
2340.0,0.0,3240.0,10.7395940776
2360.0,0.0,3240.0,10.7471210675
2380.0,0.0,3240.0,10.7418563225
2400.0,0.0,3060.0,10.7370974437
2420.0,0.0,3240.0,10.7085871505
2440.0,0.0,3240.0,10.6815903846
2460.0,0.0,3060.0,10.6402465249
2480.0,0.0,3420.0,10.623286337
2500.0,0.0,2880.0,10.579938323
2520.0,0.0,3240.0,10.5535994411
2540.0,0.0,3240.0,10.5395087212
2560.0,0.0,3240.0,10.5407720246
2580.0,0.0,3060.0,10.5638582333
2600.0,0.0,3060.0,10.5648693338
2620.0,0.0,3060.0,10.6129608616
2640.0,0.0,3240.0,10.6299971636
2660.0,0.0,3240.0,10.6536591733
2680.0,0.0,3240.0,10.6709876851
2700.0,0.0,3240.0,10.680062004
2720.0,0.0,3060.0,10.6944363097
2740.0,0.0,3240.0,10.6651401701
2760.0,0.0,3240.0,10.6354227876
2780.0,0.0,3240.0,10.5899688068
2800.0,0.0,3060.0,10.5441164791
2820.0,0.0,3240.0,10.4697187496
2840.0,0.0,3240.0,10.4145482251
2860.0,0.0,3060.0,10.3888918126
2880.0,0.0,3060.0,10.3621809442
2900.0,0.0,3240.0,10.3785618742
2920.0,0.0,3420.0,10.4025872886
2940.0,0.0,3060.0,10.4136260078
2960.0,0.0,3060.0,10.4422448366
2980.0,0.0,3240.0,10.4534632673
3000.0,0.0,3240.0,10.468985673
3020.0,0.0,3240.0,10.4888411047
3040.0,0.0,3240.0,10.5200171904
3060.0,0.0,2880.0,10.5694557206
3080.0,0.0,3240.0,10.6467934237
3100.0,0.0,3240.0,10.7692552225
3120.0,0.0,3600.0,10.9520933298
3140.0,0.0,3240.0,11.1829026993
3160.0,0.0,3240.0,11.4396180453
3180.0,0.0,3240.0,11.7060197155
3200.0,0.0,3600.0,11.9932277013
3220.0,0.0,3240.0,12.2597596857
3240.0,0.0,3600.0,12.5198704704
3260.0,0.0,3420.0,12.7294121836
3280.0,0.0,3420.0,12.9175877469
3300.0,0.0,3600.0,13.1155186726
3320.0,0.0,3600.0,13.3266964773
3340.0,0.0,3420.0,13.4905625874
3360.0,0.0,3420.0,13.6350433078
3380.0,0.0,3600.0,13.7749512555
3400.0,0.0,3600.0,13.9436041564
3420.0,0.0,3600.0,14.12547174
3440.0,0.0,3600.0,14.2312489458
3460.0,0.0,3600.0,14.3586383218
3480.0,0.0,3600.0,14.4136252511
3500.0,0.0,3600.0,14.5314896555
3520.0,0.0,3600.0,14.5702712109
3540.0,0.0,3600.0,14.7408632835
3560.0,0.0,3780.0,14.7878013009
3580.0,0.0,3780.0,14.8099396637
3600.0,0.0,3600.0,14.9488257918
